timestamp_s,x_m,y_m,z_m,pitch_deg,yaw_deg,roll_deg
4.100000000,0.022584174,-0.065552615,-0.176570579,1.944801,-0.158030,1.412901
4.133333333,0.024749920,-0.065076485,-0.172204062,2.082964,-0.191715,1.256132
4.166666666,0.025716372,-0.064580388,-0.174615249,2.217189,-0.218378,1.143102
4.200000000,0.026427321,-0.063484102,-0.179301530,2.376863,-0.207961,1.129915
4.233333333,0.027296498,-0.063178472,-0.186957657,2.510804,-0.188420,1.037426
4.266666666,0.029685404,-0.063017324,-0.201745838,2.572199,-0.232804,0.833507
4.300000000,0.031955000,-0.061887559,-0.213790268,2.613532,-0.274684,0.655230
4.333333333,0.034593374,-0.061072070,-0.230338544,2.588763,-0.268335,0.503072
4.366666666,0.036325201,-0.060005900,-0.242940292,2.645593,-0.255876,0.424621
4.400000000,0.036657304,-0.059410404,-0.250838071,2.709149,-0.224053,0.367164
4.433333333,0.036919221,-0.058776449,-0.256785482,2.771283,-0.173782,0.316642
4.466666666,0.038834296,-0.057064019,-0.267538160,2.864608,-0.174503,0.223387
4.500000000,0.041723307,-0.055889811,-0.288919806,2.837492,-0.126752,0.015718
4.533333333,0.044640969,-0.054666325,-0.312916279,2.784193,-0.089175,-0.300052
4.566666666,0.044316053,-0.053810533,-0.319773436,2.855958,-0.093963,-0.352717
4.600000000,0.045421965,-0.053401019,-0.332534790,2.821230,-0.076613,-0.534904
4.633333333,0.046820320,-0.052737743,-0.345278263,2.788004,-0.060071,-0.733861
4.666666666,0.048384942,-0.052190315,-0.356841952,2.753750,-0.032189,-0.920582
4.700000000,0.050059751,-0.051981922,-0.366509438,2.740873,-0.005350,-1.117384
4.733333333,0.051459927,-0.051419396,-0.374193013,2.789149,0.036125,-1.288321
4.766666666,0.055232830,-0.051166788,-0.384650737,2.649318,0.073566,-1.733920
4.800000000,0.057716671,-0.050736059,-0.392693818,2.598870,0.102499,-1.877607
4.833333333,0.059530899,-0.050435737,-0.399594575,2.517272,0.141014,-2.043415
4.866666666,0.059334103,-0.049131401,-0.405404031,2.558398,0.132845,-2.089310
4.900000000,0.060456075,-0.048558068,-0.413467139,2.561858,0.139873,-2.182129
4.933333333,0.061416388,-0.047526158,-0.422287196,2.566034,0.146927,-2.309753
4.966666666,0.064031951,-0.045038283,-0.436380327,2.397850,0.179680,-2.674036
5.000000000,0.067864545,-0.043987758,-0.451993138,2.206263,0.261835,-2.987041
5.033333333,0.069112226,-0.042160794,-0.464611083,2.243712,0.297672,-3.119353
5.066666666,0.071267627,-0.040135778,-0.478577167,2.206329,0.341282,-3.362084
5.100000000,0.073244609,-0.037774619,-0.495131880,2.167912,0.377886,-3.570866
5.133333333,0.077581771,-0.037624616,-0.513352394,2.008666,0.423325,-3.908583
5.166666666,0.080323339,-0.035110261,-0.535823464,1.932728,0.462553,-4.262733
5.200000000,0.083977669,-0.032301940,-0.562134385,1.782198,0.474262,-4.720010
5.233333333,0.088726856,-0.025429633,-0.605260611,1.723971,0.433231,-5.073774
5.266666666,0.090994626,-0.020350428,-0.638221562,1.674002,0.440931,-5.403591
5.300000000,0.093189254,-0.015054923,-0.672326207,1.699244,0.452494,-5.723834
5.333333333,0.095687076,-0.009925884,-0.708008111,1.745562,0.461707,-6.002792
5.366666666,0.104377121,-0.007415814,-0.761291444,1.726641,0.447045,-6.583826
5.400000000,0.108002372,-0.004767117,-0.802839577,1.747105,0.454328,-7.006097
5.433333333,0.108636051,0.000372285,-0.847811162,1.819049,0.452044,-7.181672
5.466666666,0.110200815,0.004509591,-0.894553542,2.035529,0.470404,-7.462345
5.500000000,0.109550841,0.009984811,-0.943929076,2.269956,0.491798,-7.585646
5.533333333,0.107870184,0.015269966,-0.995212793,2.510877,0.505927,-7.689858
5.566666666,0.108039089,0.016458036,-1.044509768,2.599746,0.519663,-7.914663
5.600000000,0.110154063,0.022133498,-1.106232524,2.840796,0.570736,-7.831391
5.633333333,0.105949037,0.023753550,-1.155427694,3.002071,0.581378,-8.067966
5.666666666,0.102776781,0.026541363,-1.210177302,3.122802,0.580654,-8.437822
5.700000000,0.100188918,0.030527698,-1.273871779,3.390078,0.606930,-8.563500
5.733333333,0.096834287,0.032574695,-1.329942107,3.644950,0.626848,-8.854841
5.766666666,0.091997392,0.031945057,-1.382388830,3.916924,0.642406,-9.346919
5.800000000,0.086502470,0.032355312,-1.439205170,4.173709,0.647364,-9.787475
5.833333333,0.083723456,0.024813751,-1.457659841,4.964006,0.499396,-9.883822
5.866666666,0.071572796,0.012748456,-1.487294436,5.410291,0.444950,-10.380039
