timestamp_s,yaw_deg,pitch_deg,roll_deg
0.211997,0.055410,-1.041902,0.235900
0.212992,0.055410,-1.042105,0.231044
0.213987,0.055428,-1.042790,0.227689
0.214982,0.055428,-1.043107,0.223995
0.215978,0.055428,-1.045627,0.221251
0.216973,0.056422,-1.047143,0.219733
0.217968,0.056422,-1.048114,0.218854
0.218963,0.056440,-1.048704,0.219579
0.219959,0.056440,-1.047781,0.219915
0.220954,0.056441,-1.044974,0.220547
0.221949,0.056441,-1.042474,0.221021
0.222945,0.056442,-1.039526,0.221785
0.223940,0.055448,-1.037557,0.222554
0.224935,0.055448,-1.035099,0.223443
0.225930,0.054453,-1.033931,0.224489
0.226926,0.054453,-1.033913,0.225508
0.227921,0.054435,-1.033788,0.225529
0.228916,0.054435,-1.033922,0.226683
0.229912,0.054435,-1.034050,0.227389
0.230906,0.054452,-1.034492,0.228933
0.231902,0.054488,-1.035935,0.231320
0.232897,0.054523,-1.037552,0.233553
0.233893,0.054559,-1.040165,0.236209
0.234888,0.054594,-1.044035,0.238848
0.235883,0.054630,-1.047876,0.242040
0.236878,0.054648,-1.052534,0.244366
0.237873,0.055660,-1.054335,0.246517
0.238868,0.055660,-1.058090,0.247681
0.239863,0.056654,-1.060678,0.249096
0.240859,0.056636,-1.062792,0.249801
0.241854,0.056636,-1.063900,0.251486
0.242851,0.056617,-1.065290,0.252025
0.243844,0.055606,-1.065410,0.252439
0.244840,0.055587,-1.064562,0.252134
0.245835,0.055569,-1.063858,0.251278
0.246830,0.054574,-1.062204,0.250612
0.247825,0.054575,-1.060174,0.249118
0.248821,0.054575,-1.059715,0.247367
0.249815,0.054575,-1.058281,0.245632
0.250811,0.054594,-1.057680,0.244904
0.251806,0.054612,-1.057638,0.244457
0.252802,0.054630,-1.058010,0.244155
0.253796,0.055624,-1.059019,0.243657
0.254792,0.055624,-1.062395,0.243717
0.255788,0.055623,-1.066010,0.244175
0.256782,0.055623,-1.069528,0.245159
0.257777,0.055622,-1.074524,0.246131
0.258772,0.055603,-1.080135,0.245972
0.259768,0.055584,-1.084306,0.246334
0.260763,0.055564,-1.089021,0.246423
0.261758,0.055544,-1.092713,0.246509
0.262753,0.055525,-1.096158,0.245800
0.263748,0.055505,-1.099168,0.244438
0.264746,0.054488,-1.101025,0.242968
0.265739,0.054469,-1.103455,0.240841
0.266734,0.054449,-1.104632,0.238341
0.267730,0.054449,-1.106290,0.236721
0.268725,0.054449,-1.108214,0.234604
0.269720,0.054448,-1.108556,0.232637
0.270715,0.054448,-1.111276,0.230051
0.271713,0.055445,-1.114157,0.227469
0.272706,0.055444,-1.118140,0.225181
0.273701,0.056438,-1.123005,0.223020
0.274696,0.056436,-1.127367,0.221024
0.275691,0.056416,-1.132319,0.218053
0.276687,0.056414,-1.136253,0.215842
0.277682,0.056394,-1.140389,0.213154
0.278677,0.056393,-1.142861,0.211094
0.279672,0.056392,-1.145429,0.208799
0.280667,0.056392,-1.147214,0.206764
0.281662,0.056391,-1.146862,0.204121
0.282657,0.056391,-1.146266,0.201375
0.283653,0.056411,-1.145061,0.200009
0.284648,0.056411,-1.142872,0.197664
0.285643,0.056411,-1.140832,0.194848
0.286639,0.056431,-1.139183,0.193044
0.287633,0.056451,-1.137423,0.191620
0.288628,0.056491,-1.136036,0.191442
0.289623,0.056511,-1.134661,0.190644
0.290619,0.056531,-1.133178,0.190098
0.291614,0.056550,-1.132813,0.189677
0.292609,0.056570,-1.131589,0.189624
0.293603,0.056590,-1.131263,0.189456
0.294598,0.056609,-1.130831,0.188697
0.295595,0.056609,-1.130412,0.186599
0.296588,0.056609,-1.130223,0.184395
0.297584,0.055614,-1.129144,0.181985
0.298579,0.054599,-1.128098,0.178479
0.299573,0.054600,-1.127325,0.176081
0.300569,0.053584,-1.125560,0.172843
0.301564,0.052590,-1.123330,0.171085
0.302559,0.052590,-1.121561,0.170018
0.303555,0.051595,-1.119149,0.169677
0.304552,0.051595,-1.117155,0.169551
0.305545,0.051614,-1.114754,0.170761
0.306540,0.051634,-1.112835,0.172433
0.307535,0.051634,-1.111243,0.172761
0.308530,0.051634,-1.110434,0.172746
0.309526,0.051653,-1.112675,0.173497
0.310521,0.052648,-1.114838,0.172546
0.311516,0.053642,-1.115996,0.171601
0.312511,0.053642,-1.120604,0.170338
0.313506,0.054636,-1.124544,0.168835
0.314502,0.054617,-1.128542,0.166030
0.315497,0.054616,-1.132632,0.164118
0.316492,0.054596,-1.135712,0.161341
0.317489,0.054576,-1.140537,0.158239
0.318482,0.054555,-1.144331,0.155495
0.319478,0.053539,-1.147739,0.153005
0.320473,0.053519,-1.151215,0.150842
0.321468,0.052503,-1.154107,0.149491
0.322463,0.052483,-1.156523,0.148572
0.323459,0.052482,-1.158693,0.148423
0.324454,0.052482,-1.161186,0.148720
0.325448,0.052481,-1.163331,0.149238
0.326446,0.052481,-1.164485,0.149864
0.327439,0.051487,-1.166300,0.150067
0.328435,0.052483,-1.168570,0.149900
0.329430,0.052462,-1.171183,0.148768
0.330424,0.052461,-1.174675,0.148523
0.331419,0.052440,-1.177815,0.147179
0.332414,0.052439,-1.183137,0.146723
0.333410,0.052417,-1.187872,0.145277
0.334405,0.052395,-1.192578,0.144274
0.335403,0.052373,-1.197378,0.143270
0.336396,0.052352,-1.199719,0.142165
0.337391,0.051336,-1.203688,0.141622
0.338386,0.051314,-1.205664,0.141596
0.339381,0.051293,-1.205634,0.141567
0.340377,0.050276,-1.207583,0.141555
0.341372,0.050275,-1.208737,0.142726
0.342367,0.050275,-1.208242,0.143461
0.343362,0.050275,-1.209376,0.143978
0.344357,0.050274,-1.210588,0.144706
0.345353,0.050273,-1.212805,0.145220
0.346347,0.050272,-1.215449,0.145416
0.347343,0.051245,-1.218405,0.144387
0.348338,0.051244,-1.220397,0.143953
0.349333,0.051222,-1.222485,0.142005
0.350329,0.051221,-1.226302,0.141058
0.351324,0.051220,-1.229589,0.140119
0.352319,0.051219,-1.232869,0.139186
0.353316,0.051218,-1.235262,0.138156
0.354310,0.051195,-1.237689,0.136141
0.355305,0.051195,-1.238879,0.135643
0.356300,0.051173,-1.240134,0.134776
0.357296,0.051172,-1.240264,0.135107
0.358293,0.051172,-1.241161,0.135848
0.359288,0.051193,-1.241253,0.137987
0.360282,0.050199,-1.240723,0.139764
0.361277,0.050221,-1.239068,0.142604
0.362273,0.050221,-1.237419,0.144438
0.363268,0.050222,-1.235744,0.146160
0.364263,0.051260,-1.232791,0.150241
0.365258,0.051261,-1.229232,0.152343
0.366256,0.052281,-1.227686,0.155199
0.367249,0.052281,-1.225865,0.157170
0.368244,0.052303,-1.224842,0.160222
0.369239,0.053319,-1.225146,0.163340
0.370234,0.053340,-1.224660,0.166464
0.371230,0.053361,-1.225770,0.169171
0.372225,0.053382,-1.227480,0.171763
0.373220,0.053381,-1.228876,0.173552
0.374215,0.053381,-1.231442,0.175229
0.375213,0.053380,-1.232005,0.176995
0.376206,0.052388,-1.231167,0.178873
0.377201,0.051414,-1.230923,0.181135
0.378198,0.050417,-1.229190,0.182494
0.379192,0.049424,-1.228456,0.183746
0.380186,0.049445,-1.226928,0.185266
0.381181,0.049445,-1.226116,0.186089
0.382177,0.049445,-1.224628,0.187007
0.383172,0.049445,-1.222455,0.187626
0.384167,0.049446,-1.222294,0.187951
0.385162,0.050462,-1.221660,0.188951
0.386157,0.050462,-1.220833,0.189079
0.387152,0.050483,-1.221001,0.190197
0.388147,0.050483,-1.221876,0.190128
0.389143,0.050504,-1.222864,0.190861
0.390138,0.050503,-1.223744,0.190601
0.391133,0.051497,-1.225809,0.189934
0.392129,0.051519,-1.226888,0.189798
0.393122,0.052511,-1.226683,0.188362
0.394118,0.052532,-1.227363,0.187559
0.395113,0.052532,-1.226560,0.186251
0.396108,0.052532,-1.227021,0.185427
0.397104,0.052532,-1.226278,0.184797
0.398099,0.051537,-1.224657,0.184861
0.399093,0.051559,-1.223931,0.187135
0.400088,0.051559,-1.222922,0.189173
0.401084,0.051538,-1.220656,0.190688
0.402079,0.051560,-1.219018,0.193988
0.403074,0.051539,-1.216132,0.195389
0.404070,0.051539,-1.213689,0.197678
0.405064,0.051540,-1.211451,0.199578
0.406059,0.051540,-1.208903,0.201186
0.407055,0.051561,-1.209395,0.203402
0.408050,0.051540,-1.209654,0.203060
0.409045,0.051540,-1.211281,0.203616
0.410040,0.051561,-1.213402,0.205253
0.411035,0.051560,-1.216405,0.206078
0.412030,0.051560,-1.218391,0.206804
0.413027,0.051560,-1.220368,0.207526
0.414021,0.051559,-1.223970,0.208336
0.415016,0.051559,-1.226094,0.209608
0.416011,0.051558,-1.227646,0.210779
0.417007,0.051558,-1.228820,0.211852
0.418002,0.051558,-1.228908,0.213014
0.418997,0.051558,-1.228250,0.214539
0.419992,0.051558,-1.227865,0.216056
0.420988,0.051558,-1.226482,0.218026
0.421983,0.050563,-1.226151,0.219914
0.422978,0.050584,-1.225204,0.222211
0.423973,0.049590,-1.226432,0.223163
0.424968,0.049611,-1.225958,0.224806
0.425963,0.049611,-1.226484,0.225362
0.426959,0.049611,-1.227278,0.225914
0.427956,0.049610,-1.228249,0.226189
0.428949,0.049610,-1.230557,0.226370
0.429943,0.049610,-1.233225,0.226640
0.430938,0.049610,-1.236420,0.226818
0.431934,0.050605,-1.238515,0.226790
0.432929,0.049610,-1.240950,0.226986
0.433924,0.050605,-1.242294,0.227590
0.434919,0.050604,-1.242717,0.228482
0.435914,0.050604,-1.242948,0.229548
0.436909,0.050604,-1.243435,0.230697
0.437905,0.050626,-1.243372,0.233102
0.438900,0.049631,-1.244297,0.234525
0.439896,0.049631,-1.245942,0.236279
0.440890,0.049630,-1.246051,0.237846
0.441886,0.049609,-1.248596,0.238147
0.442880,0.050580,-1.249357,0.237895
0.443875,0.050559,-1.249965,0.237223
0.444871,0.051554,-1.251767,0.237171
0.445866,0.051554,-1.252142,0.236790
0.446861,0.051576,-1.252990,0.236873
0.447857,0.051598,-1.253482,0.236608
0.448853,0.051619,-1.254798,0.236258
0.449847,0.051641,-1.254772,0.235558
0.450842,0.051641,-1.254142,0.233786
0.451837,0.051641,-1.252795,0.232196
0.452832,0.051642,-1.251265,0.231137
0.453828,0.051642,-1.249752,0.230343
0.454822,0.051620,-1.246705,0.228558
0.455818,0.051599,-1.244309,0.226776
0.456813,0.051578,-1.241309,0.225176
0.457808,0.051557,-1.236590,0.223842
0.458803,0.050542,-1.232970,0.222447
0.459799,0.050543,-1.229383,0.221682
0.460793,0.050543,-1.226298,0.220658
0.461788,0.050543,-1.225995,0.219641
0.462784,0.051560,-1.223714,0.219599
0.463780,0.051561,-1.222171,0.218328
0.464774,0.052555,-1.222761,0.216870
0.465770,0.053550,-1.221714,0.215504
0.466765,0.053550,-1.222218,0.214252
0.467759,0.054544,-1.221569,0.212900
0.468755,0.054545,-1.221389,0.211573
0.469750,0.054545,-1.221283,0.210249
0.470745,0.053550,-1.218410,0.209380
0.471740,0.052556,-1.217006,0.208598
0.472736,0.051560,-1.213881,0.208332
0.473730,0.049552,-1.211061,0.207779
0.474725,0.048537,-1.207761,0.207544
0.475721,0.047542,-1.206057,0.208554
0.476716,0.046526,-1.205003,0.208567
0.477711,0.046527,-1.203559,0.209378
0.478707,0.046527,-1.201396,0.210104
0.479701,0.047521,-1.199742,0.210639
0.480696,0.048516,-1.197624,0.210581
0.481691,0.049511,-1.196528,0.210105
0.482686,0.051522,-1.194125,0.210605
0.483683,0.052519,-1.192900,0.209966
0.484677,0.053534,-1.192759,0.210406
0.485671,0.053554,-1.192558,0.210867
0.486666,0.053575,-1.193352,0.211832
0.487662,0.053575,-1.192078,0.211969
0.488658,0.052579,-1.193695,0.212377
0.489652,0.052579,-1.193708,0.213092
0.490648,0.051583,-1.192724,0.213825
0.491643,0.050568,-1.193458,0.213560
0.492637,0.049574,-1.191771,0.214200
0.493632,0.048559,-1.192294,0.214006
0.494628,0.047542,-1.190990,0.213976
0.495623,0.047542,-1.190840,0.214914
0.496618,0.047542,-1.189607,0.215930
0.497613,0.048558,-1.189883,0.217915
0.498607,0.048578,-1.190174,0.219585
0.499602,0.049594,-1.190814,0.221398
0.500598,0.050610,-1.191875,0.222961
0.501593,0.050631,-1.192283,0.224458
0.502588,0.051646,-1.192293,0.225685
0.503583,0.051667,-1.192643,0.226932
0.504577,0.051667,-1.192091,0.227183
0.505573,0.051667,-1.190317,0.227272
0.506568,0.050672,-1.190450,0.227625
0.507563,0.050672,-1.188677,0.228282
0.508559,0.049656,-1.187158,0.228043
0.509554,0.049636,-1.185798,0.227619
0.510548,0.048601,-1.183608,0.226144
0.511543,0.048581,-1.181682,0.225559
0.512538,0.048561,-1.179510,0.224814
0.513533,0.047546,-1.177107,0.223930
0.514529,0.047547,-1.175229,0.223697
0.515524,0.047547,-1.172860,0.223223
0.516519,0.046553,-1.171073,0.222531
0.517514,0.047568,-1.168380,0.222791
0.518509,0.047569,-1.168563,0.222079
0.519504,0.048584,-1.167365,0.222504
0.520500,0.049580,-1.165022,0.221938
0.521495,0.049580,-1.164487,0.221718
0.522490,0.049580,-1.164947,0.221498
0.523485,0.048585,-1.164806,0.221539
0.524480,0.048585,-1.166372,0.221718
0.525476,0.048565,-1.167086,0.221140
0.526471,0.047550,-1.169669,0.220899
0.527466,0.047529,-1.170798,0.220714
0.528462,0.046513,-1.171346,0.220623
0.529457,0.046492,-1.172878,0.220273
0.530454,0.046472,-1.173499,0.219841
0.531448,0.046472,-1.174792,0.220246
0.532442,0.047465,-1.174198,0.220235
0.533437,0.047465,-1.174215,0.219772
0.534433,0.048461,-1.173492,0.218739
0.535428,0.048481,-1.173858,0.218488
0.536423,0.048502,-1.173015,0.218164
0.537419,0.049518,-1.172346,0.218062
0.538414,0.049538,-1.172984,0.218218
0.539410,0.049558,-1.172906,0.218768
0.540405,0.050574,-1.172904,0.219766
0.541400,0.050574,-1.172650,0.220259
0.542396,0.050553,-1.171906,0.220303
0.543391,0.050533,-1.170692,0.220660
0.544386,0.050493,-1.169766,0.220021
0.545381,0.050473,-1.168076,0.220373
0.546377,0.049458,-1.167149,0.220742
0.547372,0.049458,-1.164237,0.221533
