#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
30764197606,-3.453288078308105469e+00,-1.798120737075805664e-01,1.180585503578186035e+00,9.993746862385054497e-01,4.431511734776522569e-03,-3.507807100749267548e-02,3.565723304179954146e-04
30864297706,-4.092165946960449219e+00,-2.187133431434631348e-01,5.629756450653076172e-01,9.993534531267280752e-01,4.569268249840110867e-03,-3.566036691340927767e-02,3.684330966293627020e-04
30964397806,-4.727612495422363281e+00,-2.404168397188186646e-01,7.858693599700927734e-03,9.993135102349121057e-01,4.562810889342813411e-03,-3.676391680598202483e-02,3.216206603936586496e-04
31064497906,-5.404215812683105469e+00,-2.646107375621795654e-01,-4.881115853786468506e-01,9.992805869761235416e-01,4.530765650061294690e-03,-3.765243721048506381e-02,2.731801401026185631e-04
31164598007,-6.104593753814697266e+00,-3.442625701427459717e-01,-7.465705871582031250e-01,9.993194875066379046e-01,4.375468446455053027e-03,-3.662249795488439069e-02,-4.580490029576426807e-04
31264698107,-7.098757743835449219e+00,-4.825318753719329834e-01,-1.577649354934692383e+00,9.993699690631382415e-01,4.331556779149719864e-03,-3.522298612805123408e-02,-4.937598953567775163e-04
31364798207,-7.970434188842773438e+00,-5.238933563232421875e-01,-2.339497089385986328e+00,9.993243978530801375e-01,4.205415775287273290e-03,-3.650641283885112942e-02,-5.866475732351615234e-04
31464898307,-8.862650871276855469e+00,-5.647326111793518066e-01,-3.008442163467407227e+00,9.992798431868977760e-01,3.984073123176499684e-03,-3.772823461603502793e-02,-7.088543402228981126e-04
31564998407,-9.793386459350585938e+00,-5.957286357879638672e-01,-3.675225019454956055e+00,9.992377474385576441e-01,3.770625103804815109e-03,-3.884729491928635287e-02,-7.708162543142565168e-04
31665098507,-1.075870704650878906e+01,-6.248305439949035645e-01,-4.283137321472167969e+00,9.991952758980241489e-01,3.868202208339339542e-03,-3.991619997322774088e-02,-7.311733339526913476e-04
31765198607,-1.175088214874267578e+01,-6.708511710166931152e-01,-4.687005996704101562e+00,9.991937284880756387e-01,3.782219495482551982e-03,-3.996284442260610720e-02,-7.475502929037985836e-04
31865298707,-1.281591510772705078e+01,-7.308748960494995117e-01,-5.264985561370849609e+00,9.991393610381291701e-01,4.144268297733325404e-03,-4.126148393806253201e-02,-9.231510301407926241e-04
31965398807,-1.394998073577880859e+01,-7.811458706855773926e-01,-5.849360942840576172e+00,9.991205197260085713e-01,3.723579185546119566e-03,-4.175196281540170112e-02,-1.046719418367882863e-03
32065498907,-1.511401653289794922e+01,-8.341222405433654785e-01,-6.334785938262939453e+00,9.991188143042672998e-01,3.632001861865427270e-03,-4.180025471696992290e-02,-1.068724149191958329e-03
32165599008,-1.633688926696777344e+01,-8.872834444046020508e-01,-6.844925403594970703e+00,9.991169758952852531e-01,3.540393264199910833e-03,-4.185145426673830826e-02,-1.090811236696944938e-03
